data;modalidade;tempo;km;km/h;m/km;b/c;m/500;swolf;terreno;altimetria;cal;fadiga;temperatura;tipo treino;sozinho;prova
07/02/17;Bicicleta;0:40:00; NA ;NA;NA;NA;NA;NA;Indoor;0;NA;1.5;20;continuo;Sozinho;n
07/02/17;Corrida;0:17:45; 2,53   ;8.55;7.01;NA;NA;NA;Indoor;11;260;2,5;20;continuo;Sozinho;n
10/02/17;Bicicleta;0:50:00; NA ;NA;NA;NA;NA;NA;Indoor;0;NA;1;20;continuo;Sozinho;n
12/02/17;Corrida;0:52:45; 7,50   ;8.5;7.01;NA;NA;NA;Trail;95;587;1.5;4;continuo;Sozinho;n
14/02/17;Bicicleta;0:40:00; NA ;NA;NA;NA;NA;NA;Indoor;0;NA;1;20;continuo;Sozinho;n
17/02/17;Bicicleta;0:20:00; NA ;NA;NA;NA;NA;NA;Indoor;0;NA;1.5;20;continuo;Sozinho;n
17/02/17;Corrida;0:19:00; 3,02   ;9,54;6.29;NA;NA;NA;Indoor;0;299;2;20;continuo;Sozinho;n
20/02/17;Corrida;0:58:23; 9,00   ;9,54;6.29;NA;NA;NA;Misto;159;691;1,5;18;continuo;Sozinho;n
21/02/17;Bicicleta;0:40:17; 10,10   ;15.15;NA;NA;NA;NA;Indoor;0;678;1;20;continuo;Sozinho;n
22/02/17;Bicicleta;0:42:06; 10,80   ;15.45;NA;NA;NA;NA;Indoor;0;726;1;20;continuo;Sozinho;n
23/02/17;Bicicleta;0:40:45; 10,50   ;15.75;NA;NA;NA;NA;Indoor;0;698;1;20;continuo;Sozinho;n
23/02/17;Corrida;1:02:41; 9,51   ;9.1;6.35;NA;NA;NA;Trail;217;748;1,5;17;continuo;Sozinho;n
24/02/17;Corrida;0:45:01; 6,00   ;8.0;7.30;NA;NA;NA;Estrada;50;450;1.5;16;continuo;Acompanhado;N
02/03/17;Bicicleta;0:57:47; 13,30   ;;NA;NA;NA;NA;Estrada;113;338;1.5;2;Descontinuo;Sozinho;n
03/03/17;Corrida;0:37:18; 5,00   ;8.0;7,27;NA;NA;NA;Estrada;76;391;2;2;continuo;Sozinho;n
13/03/17;Natação;0:26:14; 1,02   ;2.34;NA;13;13:07;NA;Piscina;NA;248;1.5;NA;Descontinuo;Sozinho;n
14/03/17;Bicicleta;0:40:00;NA;NA;NA;NA;NA;NA;Indoor;NA;NA;1;20;continuo;Sozinho;n
15/03/17;Corrida;0:45:19;6,73;8.9;6.44;NA;NA;NA;Misto;46;514;1.5;5;continuo;Sozinho;n
25/03/17;Bicicleta;2:32:41; 53,36   ;21;NA;NA;NA;NA;Estrada;516;1612;2.5;5;continuo;Acompanhado;n
28/03/17;Corrida;0:31:54; 5,08   ;;NA;NA;NA;NA;Indoor;23;510;2;20;continuo;Sozinho;n
08/04/17;Corrida;1:02:38; 8,00   ;7.7;7.49;NA;NA;NA;Misto;157;582;1.5;5;continuo;Acompanhado;n
11/04/17;Corrida;0:45:13; 7,01   ;9.3;6.27;NA;NA;NA;Estrada;162;532;1.5;23;continuo;Sozinho;n
14/04/17;Corrida;0:36:01; 5,12   ;8.5;7.02;NA;NA;NA;Areia;140;399;2;20;continuo;Sozinho;n
14/04/17;Bicicleta;0:40:24; 11,50   ;;NA;NA;NA;NA;Indoor;NA;768;1;20;continuo;Sozinho;n
17/04/17;Bicicleta;1:08:00; 20,10   ;;NA;NA;NA;NA;Indoor;NA;1345;2;20;continuo;Sozinho;n
18/04/17;Corrida;0:40:16; 5,12   ;7.6;7.51;NA;NA;NA;Misto;137;385;1,5;24;continuo;Acompanhado;n
22/04/17;Bicicleta;2:55:00; 35,11   ;;NA;NA;NA;NA;Trail;190;808;1,5;20;continuo;Acompanhado;n
23/04/17;Corrida;0:59:11; 10,00   ;10.1;5.55;NA;NA;NA;Misto;181;749;2;20;continuo;Sozinho;n
25/04/17;Bicicleta;0:52:04; 15,70   ;;NA;NA;NA;NA;Indoor;NA;1052;1.5;20;continuo;Sozinho;n
26/04/17;Natação;0:39.57; 1,60   ;2.4;NA;NA;NA;NA;Piscina;NA;374;1;NA;Descontinuo;Sozinho;n
29/04/17;Corrida;0:36:46; 6,00   ;9.8;6.07;NA;NA;NA;Estrada;44;453;1.5;16;continuo;Sozinho;n
01/05/17;Corrida;0:46:12; 7,00   ;9.1;6.36;NA;NA;NA;Estrada;110;531;1.5;18;continuo;Sozinho;n
03/05/17;Natação;0:30:00; 1,00   ;NA;NA;NA;NA;NA;Piscina;NA;NA;1.5;NA;Descontinuo;Sozinho;n
04/05/17;Bicicleta;0:50:20; 15,00   ;18;NA;NA;NA;NA;Indoor;NA;998;1.5;20;continuo;Sozinho;n
09/05/17;Bicicleta;1:11:00; 20,00   ;;NA;NA;NA;NA;Indoor;NA;1339;1;20;continuo;Sozinho;n
10/05/17;Bicicleta;0:52:36; 15,00   ;;NA;NA;NA;NA;Indoor;NA;1002;1.5;20;continuo;Sozinho;n
14/05/17;Bicicleta;1:40:00; 30,00   ;;NA;NA;NA;NA;Indoor;NA;2001;1.5;20;continuo;Sozinho;n
16/05/17;Corrida;0:39:59; 6,00   ;;6.39;NA;NA;NA;Trail;90;467;1.5;20;continuo;Sozinho;n
16/05/17;Bicicleta;0:34:44; 10,00   ;;NA;NA;NA;NA;Indoor;NA;670;1;20;continuo;Sozinho;n
18/05/17;Corrida;0:32:34; 6,00   ;;5.25;NA;NA;NA;Trail;70;441;2;20;continuo;Sozinho;n
21/05/17;Bicicleta;1:22:00; 22,00   ;;NA;NA;NA;NA;Indoor;NA;1469;1.5;20;continuo;Sozinho;n
22/05/17;Bicicleta;1:32:00; 25,00   ;;NA;NA;NA;NA;Indoor;NA;1668;2;20;continuo;Sozinho;n
23/05/17;Corrida;1:16:45; 11,00   ;8,7;6.58;NA;NA;NA;Trail;301;863;2;31;continuo;Sozinho;n
27/05/17;Corrida;0:43:00; 5,00   ;6,9;8.35;NA;NA;NA;Estrada;56;350;1;20;continuo;Acompanhado;N
01/06/17;Corrida;0:34:31; 5,00   ;8,8;6.53;NA;NA;NA;Estrada;81;400;2;20;continuo;Sozinho;n
02/06/17;Natação;0:35:46; 1,80   ;3;NA;NA;NA;NA;Praia;NA;NA;2;NA;continuo;Sozinho;n
04/06/17;Corrida;0:50:40; 8,15   ;9,8;6,13;NA;NA;NA;Misto;135;633;1.5;25;continuo;Acompanhado;n
06/06/17;Natação;0:47:08; 2,00   ;2,6;NA;NA;NA;NA;Praia;NA;NA;2.5;NA;continuo;Sozinho;n
08/06/17;Natação;0:17:05; 1,11   ;3,9;NA;NA;NA;NA;Piscina;NA;NA;2;25;continuo;Sozinho;n
09/06/17;Corrida;0:46:11; 7,00   ;9,1;6,35;NA;NA;NA;Areia;84;552;2.5;20;continuo;Sozinho;n
11/06/17;Natação;0:28:00; 1,43   ;3,1;NA;NA;NA;NA;Piscina;NA;NA;1.5;25;continuo;Sozinho;n
14/06/17;Natação;0:17:00; 0,67   ;2,4;NA;NA;NA;NA;Piscina;NA;NA;2;25;continuo;Sozinho;n
15/06/17;Corrida;1:06:00; 10,00   ;9,1;6.36;NA;NA;NA;Estrada;102;763;1.5;20;continuo;Sozinho;n
16/06/17;Bicicleta;1:14:00; 20,00   ;16,2;NA;NA;NA;NA;Indoor;NA;1337;2;20;continuo;Sozinho;n
20/06/17;Bicicleta;1:37:00; 25,20   ;15,6;NA;NA;NA;NA;Indoor;NA;1683;2;20;continuo;Sozinho;n
24/06/17;Corrida;0:54:00; 7,00   ;7,5;7,42;NA;NA;NA;Areia;76;535;1.5;18;continuo;Acompanhado;n
26/06/17;Natação;0:43:00; 2,02   ;2,8;NA;NA;NA;NA;Praia;NA;NA;2;NA;continuo;Sozinho;n
27/06/17;Corrida;0:31:38; 4,00   ;7,5;7.45;NA;NA;NA;Estrada;84;300;1.5;15;continuo;Acompanhado;n
29/06/17;Bicicleta;0:37:52; 10,00   ;15,7;NA;NA;NA;NA;Indoor;NA;668;1.5;20;continuo;Sozinho;n
04/07/17;Bicicleta;1:13:00; 20,00   ;16,4;NA;NA;NA;NA;Indoor;NA;1342;2;20;continuo;Sozinho;n
08/07/17;Corrida;0:40:05; 6,00   ;9;6.40;NA;NA;NA;Misto;42;458;1.5;20;continuo;Sozinho;n
10/07/17;Corrida;0:47:47; 6,00   ;7,5;7.58;NA;NA;NA;Misto;39;423;1.5;20;continuo;Acompanhado;n
13/07/17;Natação;0:44:00; 1,60   ;2,2;NA;NA;NA;NA;Piscina;NA;394;1.5;NA;Descontinuo;Sozinho;n
16/07/17;Bicicleta;2:12:00; 35,00   ;15,8;NA;NA;NA;NA;BTT;210;967;1.5;24;continuo;Acompanhado;n
17/07/17;Corrida;0:47:15; 7,50   ;9,6;6.17;NA;NA;NA;Estrada;56;569;1.5;20;continuo;Sozinho;n
21/07/17;Bicicleta;1:35:00; 25,00   ;15,7;NA;NA;NA;NA;Indoor;NA;1670;2;20;continuo;Sozinho;n
22/07/17;Corrida;0:51:51; 8,00   ;9,2;6.29;NA;NA;NA;Misto;56;611;2;15;continuo;Sozinho;n
25/07/17;Bicicleta;0:36:00; 10,00   ;16,6;NA;NA;NA;NA;Indoor;NA;671;2;20;continuo;Sozinho;n
27/07/17;Natação;0:18:51; 0,60   ;1,8;NA;;;;Piscina;NA;157;2;NA;Descontinuo;Sozinho;n
28/07/17;Natação;0:29:31; 1,40   ;2,8;NA;;;;Piscina;NA;277;1.5;NA;Descontinuo;Sozinho;n
29/07/17;Natação;0:45:00; 2,00   ;2,7;NA;NA;NA;NA;Praia;NA;NA;2;26;continuo;Acompanhado;n
31/07/17;Natação;0:30:09; 1,50   ;3,1;NA;;;;Piscina;NA;284;1.5;NA;continuo;Sozinho;n
31/07/17;Corrida;0:28:05; 5,00   ;10,7;5.4;NA;NA;NA;Misto;68;363;2;25;continuo;Sozinho;n
01/08/17;Bicicleta;1:01:00; 17,00   ;16,7;NA;NA;NA;NA;Indoor;NA;1137;2;22;continuo;Sozinho;n
02/08/17;Corrida;1:07:38; 10,00   ;8,8;6.5;NA;NA;NA;Misto;67;786;2;20;continuo;Sozinho;n
03/08/17;Bicicleta;1:29:00; 25,00   ;16,8;NA;NA;NA;NA;Indoor;NA;1670;2;20;continuo;Sozinho;n
05/08/17;Corrida;0:44:05; 6,00   ;;7.2;NA;NA;NA;Trail;218;488;2;20;continuo;Acompanhado;n
06/08/17;Bicicleta;1:12:48; 26,60   ;21,9;NA;NA;NA;NA;Estrada;383;803;2;18;continuo;Sozinho;n
08/08/17;Natação;0:22:04; 1,08   ;2,95;NA;NA;NA;NA;Praia;NA;NA;2.5;15;continuo;Sozinho;n
08/08/17;Bicicleta;1:12:00; 20,00   ;16,6;NA;NA;NA;NA;Indoor;NA;1340;2;20;continuo;Sozinho;n
09/08/17;Corrida;0:35:00; 5,37   ;;6.3;NA;NA;NA;Trail;70;405;2.5;30;continuo;Sozinho;n
11/08/17;Natação;0:40:00; 2,07   ;3,1;NA;NA;NA;NA;Praia;NA;NA;2;18;continuo;Sozinho;n
12/08/17;Corrida;1:04:00; 10,00   ;;6.2;NA;NA;NA;Misto;124;783;2;25;continuo;Sozinho;n
13/08/17;Bicicleta;2:14:05; 45,71   ;20,4;NA;NA;NA;NA;Estrada;677;1323;2;20;continuo;Sozinho;n
13/08/17;Corrida;0:38:13; 5,00   ;;7.4;NA;NA;NA;Misto;35;356;1.5;25;continuo;Acompanhado;n
16/08/17;Natação;0:32:24; 1,50   ;2,77;NA;NA;NA;NA;Praia;NA;NA;1.5;20;continuo;Acompanhado;n
17/08/17;Corrida;0:27.44; 5,30   ;;5.29;NA;NA;NA;Misto;68;388;2;20;continuo;Sozinho;n
17/08/17;Bicicleta;1:13:00; 20,00   ;16,4;NA;NA;NA;NA;Indoor;NA;1337;1.5;20;continuo;Sozinho;n
18/08/17;Natação;0:52:24; 2,30   ;2,6;NA;NA;NA;NA;Praia;NA;NA;2;20;continuo;Acompanhado;n
